character,short description,tags,LLM description
🥦,BROCCOLI,['broccoli' 'vegetable' 'green' 'health' 'nutrition' 'food'],"This emoji represents broccoli, a nutritious and popular green vegetable known for its many health benefits and often used in various dishes."
⛓️‍💥,BROKEN CHAIN,['broken' 'chain' 'end' 'relationship' 'promise' 'change'],"This emoji represents a broken chain, often used to symbolize the end of a relationship, a broken promise, or a sudden change in a situation."
⛓‍💥,BROKEN CHAIN,"['broken' 'chain' 'separation' 'freedom' 'end' 'connection'
 'relationships' 'bonds' 'dependencies']","This emoji represents a broken chain, symbolizing separation, freedom, or the end of a connection, often used in the context of relationships, bonds, or dependencies."
💔,BROKEN HEART,"['broken heart' 'sadness' 'loss' 'heartbreak' 'disappointment' 'grief'
 'emotion']","This emoji represents a broken heart, symbolizing sadness, loss, and emotional pain, often used to express feelings of heartbreak, disappointment, or grief."
🧹,BROOM,['broom' 'cleaning' 'sweep' 'cleanliness' 'household' 'maintenance'],"This emoji represents a broom, a cleaning tool used for sweeping and maintaining cleanliness in various environments."
🟤,BROWN CIRCLE,['brown' 'circle' 'neutral' 'earthy' 'design' 'interface'],"This emoji represents a brown circle, often used to indicate a neutral or earthy tone, or to highlight a specific area within a design or interface."
🤎,BROWN HEART,['brown heart' 'love' 'affection' 'emotion' 'connection' 'earthy' 'nature'],"This emoji represents a brown heart, symbolizing love, affection, and emotional connection, often used to express deep feelings or to represent the heart in a more natural or earthy tone."
🍄‍🟫,BROWN MUSHROOM,['mushroom' 'nature' 'earthy' 'fungi' 'organic'],"This emoji represents a brown mushroom, often associated with nature, earthy tones, and sometimes used to symbolize fungi or organic matter."
🟫,BROWN SQUARE,['brown' 'square' 'neutral' 'shape' 'color'],"This emoji represents a brown square, often used to indicate a neutral or plain color, or to emphasize a simple shape in various contexts."
🧋,BUBBLE TEA,['bubble tea' 'drink' 'Taiwanese' 'tapioca pearls' 'sweet' 'fruit'],"This emoji represents bubble tea, a popular Taiwanese drink known for its unique texture created by large, chewy tapioca pearls, often served with sweet fruit flavors."
🫧,BUBBLES,"['bubbles' 'lightness' 'joy' 'celebration' 'communication' 'transparency'
 'floating' 'rising']","This emoji represents bubbles, often used to convey a sense of lightness, joy, or celebration, and can symbolize communication, transparency, or the idea of something floating or rising."
🪣,BUCKET,['bucket' 'container' 'construction' 'gardening' 'everyday tasks'],"This emoji represents a bucket, a container often used for carrying water, sand, or other materials, and is commonly associated with construction, gardening, and everyday tasks."
🐛,BUG,['caterpillar' 'insect' 'transformation' 'growth' 'life cycle' 'nature'],"This emoji represents a caterpillar, the larval stage of butterflies and moths, often used to symbolize transformation, growth, and the life cycle of insects."
🏗️,BUILDING CONSTRUCTION,"['construction' 'building' 'progress' 'growth' 'development'
 'architecture' 'work']","This emoji represents a construction site with buildings under construction, often used to symbolize progress, growth, and development."
🏗,BUILDING CONSTRUCTION,"['construction' 'building' 'progress' 'growth' 'development' 'project'
 'work']","This emoji represents a construction site with scaffolding, often used to symbolize progress, growth, and development in various projects."
🚅,BULLET TRAIN,"['bullet train' 'transportation' 'speed' 'modern' 'technology' 'travel'
 'high-speed']","This emoji represents a bullet train, a high-speed train known for its sleek design, speed, and efficient transportation, often used to symbolize modern technology and fast travel."
🎯,BULLSEYE,['bullseye' 'accuracy' 'focus' 'target' 'sports' 'success' 'achievement'],"This emoji represents a bullseye, symbolizing accuracy, focus, and hitting the target, often used in sports like darts or archery, as well as in metaphorical contexts for achieving goals or success."
🌯,BURRITO,"['burrito' 'food' 'cuisine' 'Mexican' 'dish' 'tortilla' 'rice' 'beans'
 'meat' 'vegetables']","This emoji represents a burrito, a popular Mexican dish consisting of a tortilla wrapped around various fillings such as rice, beans, meat, and vegetables, often associated with food and cuisine."
🚌,BUS,['bus' 'transportation' 'travel' 'public' 'vehicle' 'commute' 'school'],"This emoji represents a bus, a large vehicle used for public transportation, often associated with commuting, school trips, and traveling around cities or rural areas."
🚏,BUS STOP,"['bus stop' 'transportation' 'public transit' 'travel' 'commute' 'vehicle'
 'location']","This emoji represents a bus stop, a designated location where public transportation vehicles like buses and trams stop to pick up and drop off passengers."
👤,BUST IN SILHOUETTE,"['bust' 'silhouette' 'person' 'head' 'shoulders' 'face' 'identity'
 'personality']","This emoji represents a bust in silhouette, symbolizing a person's head and shoulders, often used to convey a focus on the individual's face, personality, or identity."
👥,BUSTS IN SILHOUETTE,['people' 'teamwork' 'social' 'interaction' 'connection' 'collaboration'],"This emoji represents two silhouetted human figures, often used to convey the concept of people coming together, teamwork, or social interaction."
🧈,BUTTER,['butter' 'dairy' 'food' 'cooking' 'ingredient' 'spread' 'topping'],"This emoji represents butter, a dairy product made from fat and protein components of milk or cream, often used as a spread, cooking ingredient, or topping for various dishes."
🦋,BUTTERFLY,"['butterfly' 'transformation' 'beauty' 'soul' 'nature' 'change' 'growth'
 'life']","This emoji represents a butterfly, a symbol of transformation, beauty, and the soul, often used to express change, growth, and the fleeting nature of life."
🌵,CACTUS,['cactus' 'plant' 'desert' 'arid' 'water-storing' 'stem' 'Americas'],"This emoji represents a cactus, a type of plant known for its spiny, water-storing stems, and found primarily in arid and semi-arid regions of the Americas."
📅,CALENDAR,['calendar' 'date' 'time' 'schedule' 'organization' 'planning' 'event'],"This emoji represents a calendar, symbolizing dates, events, and organization of time, often used to schedule appointments or plan activities."
🤙,CALL ME HAND,['call' 'beckon' 'attention' 'request' 'communication' 'gesture'],"This emoji represents a hand gesturing to call or beckon, often used to express a request for someone to get in touch or to indicate that one's attention is being sought."
🤙🏿,CALL ME HAND DARK SKIN TONE,"['call me' 'beckon' 'hand gesture' 'dark skin tone' 'communication'
 'request']","This emoji represents a hand with palm facing forward, index and middle fingers raised, in a gesture to call or beckon someone, with a dark skin tone variation."
🤙🏻,CALL ME HAND LIGHT SKIN TONE,['call me' 'hand' 'communication' 'request' 'light skin tone'],"This emoji represents a hand with palm facing forward and fingers wiggling, often used to express the phrase 'call me' or to request someone to get in touch, with a light skin tone variation."
🤙🏾,CALL ME HAND MEDIUM-DARK SKIN TONE,"['call me' 'get in touch' 'hand gesture' 'communication' 'informal'
 'medium-dark skin tone']","This emoji represents a hand with palm facing forward and fingers curled, commonly used to convey the phrase 'call me' or 'get in touch,' especially in informal communication. The medium-dark skin tone variant indicates a character with a medium-dark complexion."
🤙🏼,CALL ME HAND MEDIUM-LIGHT SKIN TONE,"['call' 'invitation' 'contact' 'communication' 'hand gesture'
 'medium-light skin tone']","This emoji represents a hand with palm facing forward, index and middle fingers raised, commonly used to express a call or invitation for someone to contact the user, with a medium-light skin tone variation."
🤙🏽,CALL ME HAND MEDIUM SKIN TONE,"['call me' 'get in touch' 'hand gesture' 'informal communication'
 'medium skin tone' 'contact']","This emoji represents a hand with palm facing forward and fingers wiggling, commonly used to express the phrase 'call me' or 'get in touch,' especially in informal communication. The medium skin tone variant indicates a character with a medium-level melanin concentration."
🐪,CAMEL,"['camel' 'animal' 'transportation' 'desert' 'endurance' 'resilience'
 'arid']","This emoji represents a camel, a hardy and adaptable animal known for its ability to travel long distances across deserts and arid regions, often used as a mode of transportation and a symbol of endurance and resilience."
📷,CAMERA,['camera' 'photography' 'visual' 'storytelling' 'capture' 'communication'],"This emoji represents a camera, symbolizing photography, capturing moments, and communication through visual storytelling."
📸,CAMERA WITH FLASH,['camera' 'flash' 'photography' 'visual media' 'capture' 'communication'],"This emoji represents a camera with a flash, symbolizing photography, capturing moments, and communication through visual media."
🏕️,CAMPING,"['camping' 'outdoors' 'nature' 'adventure' 'relaxation' 'tent' 'fire'
 'hiking' 'vacation']","This emoji represents a camping site, often used to express outdoor activities, nature, relaxation, and adventure."
🏕,CAMPING,"['camping' 'outdoors' 'nature' 'adventure' 'relaxation' 'tent' 'hiking'
 'vacation']","This emoji represents a camping site, often used to express outdoor activities, nature, relaxation, and adventure."
🕯️,CANDLE,['candle' 'light' 'hope' 'remembrance' 'ceremony' 'memorial'],"This emoji represents a candle, often used to symbolize light, hope, and remembrance, especially in ceremonies and memorials."
🕯,CANDLE,['candle' 'light' 'hope' 'remembrance' 'ceremony' 'memorial'],"This emoji represents a candle, often used to symbolize light, hope, and remembrance, especially in ceremonies and memorials."
🍬,CANDY,['candy' 'sweet' 'treat' 'dessert' 'celebration' 'Halloween'],"This emoji represents a candy, often used to symbolize sweetness, treats, and celebrations, especially during Halloween or other festive occasions."
🥫,CANNED FOOD,"['canned food' 'preservation' 'self-sufficiency' 'resourcefulness' 'meal'
 'food']","This emoji represents canned food, typically preserved and packaged in a metal container, often used to symbolize self-sufficiency, resourcefulness, or a meal in a hurry."
🛶,CANOE,"['canoe' 'watercraft' 'transportation' 'recreation' 'traditional culture'
 'paddling' 'outdoors']","This emoji represents a canoe, a lightweight and narrow watercraft typically pointed at both ends and propelled by paddles, often used for recreational activities, transportation, and traditional cultures."
🗃️,CARD FILE BOX,"['card file box' 'storage' 'organization' 'information' 'archive' 'office'
 'library']","This emoji represents a card file box, a storage system used for organizing and keeping information in cards, often used in offices, libraries, and archives."
🗃,CARD FILE BOX,"['card file box' 'storage' 'organization' 'archive' 'information' 'office'
 'library']","This emoji represents a card file box, a storage system used for organizing and keeping information in cards, often used in offices, libraries, and archives."
📇,CARD INDEX,"['card index' 'organization' 'research' 'data management' 'information'
 'order']","This emoji represents a card index, often used for organizing and referencing information, symbolizing order, research, and data management."
🗂️,CARD INDEX DIVIDERS,"['card index dividers' 'organization' 'categorization' 'order'
 'efficiency' 'information' 'system']","This emoji represents card index dividers, often used for organizing and categorizing information in a systematic way, symbolizing order and efficiency."
🗂,CARD INDEX DIVIDERS,"['card index dividers' 'organization' 'categorization' 'order'
 'efficiency' 'information' 'system']","This emoji represents card index dividers, often used for organizing and categorizing information in a systematic way, symbolizing order and efficiency."
🎠,CAROUSEL HORSE,['carousel' 'horse' 'amusement' 'ride' 'fun' 'nostalgia' 'childhood'],"This emoji represents a carousel horse, a traditional amusement ride featuring painted wooden horses that go round and round, often associated with fun, nostalgia, and childhood memories."
🎏,CARP STREAMER,"['carp streamer' 'flag' 'decoration' 'Japanese culture' 'luck'
 'prosperity' 'success']","This emoji represents a carp streamer, a colorful, decorative flag often displayed during Japanese festivals and events, symbolizing good luck, prosperity, and success."
🪚,CARPENTRY SAW,['carpentry' 'saw' 'wood' 'construction' 'DIY' 'tool' 'craftsmanship'],"This emoji represents a carpentry saw, a tool used by woodworkers to cut through wood, symbolizing craftsmanship, construction, and DIY projects."
🥕,CARROT,['carrot' 'vegetable' 'orange' 'healthy eating' 'motivation' 'reward'],"This emoji represents a carrot, a root vegetable known for its orange color and sweet taste, often associated with healthy eating and used as a symbol of motivation or reward."
🏰,CASTLE,"['castle' 'fortress' 'royalty' 'history' 'medieval' 'power' 'protection'
 'grandeur']","This emoji represents a castle, a large and imposing fortress often associated with royalty, history, and medieval times, symbolizing power, protection, and grandeur."
🐈,CAT,['cat' 'animal' 'pet' 'playful' 'affectionate' 'domesticated' 'curious'],"This emoji represents a cat, a popular domesticated animal known for its playful, curious, and affectionate nature, often kept as a pet and celebrated in various cultures."
🐱,CAT FACE,['cat' 'animal' 'playfulness' 'affection' 'feline' 'pet' 'cute'],"This emoji represents a cat face, often used to express playfulness, affection, or to show a connection to the feline animal."
😹,CAT WITH TEARS OF JOY,"['cat' 'tears of joy' 'happiness' 'playfulness' 'affection' 'amusement'
 'cute']","This emoji shows a cat with tears of joy, expressing happiness, playfulness, and cuteness, often used to convey amusement or affection for cats."
😼,CAT WITH WRY SMILE,['cat' 'pet' 'playfulness' 'humor' 'contentment' 'animal' 'smile'],"This emoji shows a cat with a wry smile, expressing playfulness, mischief, or contentment, often used to convey a sense of humor or to represent cats as pets."
⛓️,CHAINS,"['chains' 'confinement' 'imprisonment' 'restraint' 'interconnectedness'
 'links']","This emoji represents chains, often used to symbolize confinement, imprisonment, or restraint, and can also represent the concept of interconnectedness and links in a chain."
⛓,CHAINS,"['chains' 'confinement' 'imprisonment' 'restraint' 'interconnectedness'
 'links']","This emoji represents chains, often used to symbolize confinement, imprisonment, or restraint, and can also represent the concept of interconnectedness or links in a chain."
🪑,CHAIR,"['chair' 'furniture' 'sitting' 'support' 'back' 'spine' 'home' 'office'
 'public space']","This emoji represents a chair, a common piece of furniture used for sitting and providing support to the back and spine, often found in homes, offices, and public spaces."
📉,CHART DECREASING,['chart' 'graph' 'decreasing' 'decline' 'data' 'trend' 'performance'],"This emoji represents a chart or graph that shows a decreasing trend, often used to convey a decline in data, values, or performance."
📈,CHART INCREASING,"['chart' 'graph' 'growth' 'progress' 'increase' 'finance' 'business'
 'data analysis']","This emoji represents an upward chart or graph, often used to symbolize growth, progress, and increasing trends in various fields such as finance, business, and data analysis."
💹,CHART INCREASING WITH YEN,"['chart' 'graph' 'growth' 'progress' 'increase' 'finance' 'economy'
 'value' 'yen']","This emoji represents an upward chart or graph, often used to symbolize growth, progress, or an increase in value, particularly in the context of finance or economic data."
☑️,CHECK BOX WITH CHECK,['checkbox' 'checked' 'completed' 'agreement' 'selection'],"This emoji represents a check box with a checked mark, often used to indicate a completed task, agreement, or selection."
☑,CHECK BOX WITH CHECK,['checkbox' 'checked' 'completed' 'selected' 'confirmation' 'success'],"This emoji represents a check box with a checked item, often used to indicate a task completed or an option selected, symbolizing confirmation and success."
✔️,CHECK MARK,"['check mark' 'approval' 'success' 'completion' 'task' 'done'
 'confirmation']","This emoji represents a check mark, often used to indicate approval, success, or completion of a task."
✔,CHECK MARK,"['check mark' 'approval' 'success' 'completion' 'task' 'done'
 'confirmation']","This emoji represents a check mark, often used to indicate approval, success, or completion of a task."
✅,CHECK MARK BUTTON,['check mark' 'success' 'approval' 'completion' 'button' 'confirmation'],"This emoji represents a check mark button, often used to indicate success, approval, or completion of a task or action."
🧀,CHEESE WEDGE,['cheese' 'dairy' 'food' 'recipe' 'flavor' 'texture' 'dish'],"This emoji represents a wedge of cheese, a dairy product made from milk, known for its various flavors, textures, and popular use in many dishes and recipes."
🏁,CHEQUERED FLAG,['chequered flag' 'race' 'competition' 'sports' 'motorsports' 'end'],"This emoji represents a chequered flag, symbolizing the end of a race or competition, often used in sports like car racing and motorsports."
🍒,CHERRIES,['cherries' 'fruit' 'sweet' 'juicy' 'love' 'romance' 'fertility'],"This emoji represents cherries, a sweet and juicy fruit often enjoyed as a snack or used in desserts, symbolizing love, romance, and fertility in various cultures."
🌸,CHERRY BLOSSOM,['cherry blossoms' 'sakura' 'spring' 'renewal' 'nature' 'Japan' 'fleeting'],"This emoji represents cherry blossoms, also known as sakura, which are the flowers of the cherry tree and symbolize the arrival of spring, renewal, and the fleeting nature of life in many cultures, particularly in Japan."
♟️,CHESS PAWN,['chess' 'pawn' 'strategy' 'competition' 'game' 'progression'],"This emoji represents a chess pawn, a small piece in the game of chess that moves forward and captures diagonally, often used to symbolize strategy, competition, and the progression of a game."
♟,CHESS PAWN,['chess' 'pawn' 'strategy' 'competition' 'game' 'board game' 'checkers'],"This emoji represents a chess pawn, a small piece in the game of chess that moves forward and captures diagonally, often used to symbolize strategy, competition, and the game of chess itself."
🌰,CHESTNUT,['chestnut' 'food' 'seed' 'harvest' 'autumn' 'snack'],"This emoji represents a chestnut, a type of edible seed found in many delicious dishes and snacks, often associated with autumn and the harvest season."
🐔,CHICKEN,['chicken' 'bird' 'agriculture' 'poultry' 'meat' 'eggs' 'farming'],"This emoji represents a chicken, a common domesticated bird known for its meat, eggs, and role in agriculture and poultry farming."
🧒,CHILD,['boy' 'child' 'youth' 'family' 'age' 'personal expression'],"This emoji represents a boy, often used to convey a child or youth, and can be used in various contexts such as age, family, or personal expression."
🧒🏿,CHILD DARK SKIN TONE,['child' 'dark skin tone' 'boy' 'youth' 'family' 'personal expression'],"This emoji represents a child with a dark skin tone, showing a young boy with short hair, often used to convey a sense of youth, family, or personal expression."
🧒🏻,CHILD LIGHT SKIN TONE,['child' 'boy' 'light skin tone' 'age' 'gender' 'youth'],"This emoji represents a child with a light skin tone, showing a boy with short hair, often used to convey a young person or to emphasize age and gender in a message."
🧒🏾,CHILD MEDIUM-DARK SKIN TONE,['child' 'medium-dark skin tone' 'boy' 'age' 'skin color' 'diverse'],"This emoji represents a child with a medium-dark skin tone, showing a boy with short hair, often used to convey a general message about children or to emphasize age and skin color in a diverse context."
🧒🏼,CHILD MEDIUM-LIGHT SKIN TONE,['child' 'boy' 'medium-light skin tone' 'age' 'gender'],"This emoji represents a child with medium-light skin tone, showing a boy with short hair, often used to convey a young individual or to emphasize age and gender."
🧒🏽,CHILD MEDIUM SKIN TONE,['child' 'boy' 'medium skin tone' 'youth' 'representation' 'inclusiveness'],"This emoji represents a boy with a medium skin tone, often used to convey a child or youth, and can be part of a broader range of emojis for different skin tones to promote inclusiveness and representation."
🚸,CHILDREN CROSSING,['children' 'crossing' 'safety' 'road' 'protection' 'care'],"This emoji represents a pedestrian crossing sign, often used to indicate a safe place for children to cross the street, symbolizing care, protection, and the importance of road safety."
🐿️,CHIPMUNK,['chipmunk' 'animal' 'rodent' 'stripes' 'nature' 'small' 'energetic'],"This emoji represents a chipmunk, a small, energetic squirrel-like rodent known for its distinctive stripes and cheek pouches used for storing food."
🐿,CHIPMUNK,['chipmunk' 'animal' 'furry' 'rodent' 'nature' 'small' 'energetic'],"This emoji represents a chipmunk, a small, furry, and energetic rodent known for its distinctive striped fur and cheek pouches used for storing food."
🍫,CHOCOLATE BAR,['chocolate' 'treat' 'sweetness' 'indulgence' 'comfort' 'dessert' 'food'],"This emoji represents a chocolate bar, symbolizing sweetness, indulgence, and comfort, often used to express love, happiness, or to represent chocolate treats."
🥢,CHOPSTICKS,['chopsticks' 'Asian' 'cuisine' 'utensils' 'food' 'fortune' 'eating'],"This emoji represents a pair of chopsticks, commonly used in Asian cuisine as utensils for picking up food, symbolizing good fortune, and often used in emojis to indicate eating or Asian food."
⛪,CHURCH,"['church' 'religion' 'Christianity' 'spirituality' 'faith' 'community'
 'place of worship']","This emoji represents a church, a place of worship for Christians, often featuring a cross and a steeple, symbolizing faith, spirituality, and community."
🚬,CIGARETTE,['cigarette' 'smoking' 'addiction' 'health' 'risk' 'tobacco'],"This emoji represents a cigarette, often used to symbolize smoking, addiction, and the associated health risks."
🎦,CINEMA,"['cinema' 'movie theater' 'entertainment' 'film' 'movies' 'theater'
 'screen']","This emoji represents a cinema or movie theater, often used to express going to the movies, watching films, or to symbolize the entertainment industry."
Ⓜ️,CIRCLED M,['circled M' 'mail' 'message' 'communication' 'correspondence'],"This emoji represents a circled 'M', often used as a symbol for'mail' or'message,' indicating communication or correspondence."
Ⓜ,CIRCLED M,['circled M' 'mail' 'message' 'communication' 'correspondence'],"This emoji represents a circled 'M', often used as a symbol for'mail' or'message', indicating communication and correspondence."
🎪,CIRCUS TENT,['circus' 'tent' 'entertainment' 'fun' 'acrobatics' 'performance' 'joy'],"This emoji represents a circus tent, symbolizing entertainment, fun, and the joy of watching acrobatics, clowns, and other performances under its colorful and lively atmosphere."
🏙️,CITYSCAPE,"['cityscape' 'urban' 'skyscrapers' 'city life' 'energy' 'excitement'
 'modernity']","This emoji represents a cityscape, symbolizing urban areas, skyscrapers, and bustling city life, often used to express a sense of energy, excitement, and modernity."
🏙,CITYSCAPE,"['cityscape' 'urban' 'skyscrapers' 'city life' 'energy' 'excitement'
 'modernity']","This emoji represents a cityscape, symbolizing urban areas, skyscrapers, and bustling city life, often used to express a sense of energy, excitement, and modernity."
🌆,CITYSCAPE AT DUSK,['cityscape' 'dusk' 'skyline' 'urban' 'evening' 'beauty' 'atmosphere'],"This emoji represents a cityscape at dusk, showcasing a skyline with tall buildings, often used to convey a sense of urban life, beauty, and atmosphere during the evening."
🗜️,CLAMP,['clamp' 'tool' 'holding' 'securing' 'fixing' 'compressing'],"This emoji represents a clamp, a tool used for clamping or holding objects tightly together, often associated with securing, fixing, or compressing items."
🗜,CLAMP,['clamp' 'tool' 'grip' 'hold' 'compress' 'secure' 'fix'],"This emoji represents a clamp, a tool used to grip, hold, or compress objects, often associated with tightening, securing, or fixing things."
🎬,CLAPPER BOARD,"['clapper board' 'filmmaking' 'movie' 'scene' 'entertainment' 'cinema'
 'production']","This emoji represents a clapperboard, a tool used in filmmaking to mark the start and end of a scene, symbolizing the beginning of a movie or a specific scene."
👏,CLAPPING HANDS,['clapping' 'hands' 'appreciation' 'praise' 'congratulations'],"This emoji represents clapping hands, often used to express appreciation, praise, or congratulations in various situations."
👏🏿,CLAPPING HANDS DARK SKIN TONE,['clapping' 'hands' 'dark skin tone' 'appreciation' 'approval' 'praise'],"This emoji represents clapping hands with a dark skin tone, often used to express appreciation, approval, or praise for someone or something."
👏🏻,CLAPPING HANDS LIGHT SKIN TONE,"['clapping' 'hands' 'appreciation' 'praise' 'congratulations'
 'light skin tone']","This emoji represents clapping hands with a light skin tone, often used to express appreciation, praise, or congratulations in various contexts."
👏🏾,CLAPPING HANDS MEDIUM-DARK SKIN TONE,"['clapping' 'hands' 'appreciation' 'celebration' 'praise'
 'medium-dark skin tone']","This emoji shows a pair of medium-dark skin tone clapping hands, representing appreciation, celebration, and praise for a job well done."
👏🏼,CLAPPING HANDS MEDIUM-LIGHT SKIN TONE,"['clapping' 'hands' 'medium-light skin tone' 'appreciation' 'approval'
 'praise']","This emoji represents clapping hands with a medium-light skin tone, often used to express appreciation, approval, or praise for someone or something."
👏🏽,CLAPPING HANDS MEDIUM SKIN TONE,"['clapping' 'hands' 'appreciation' 'praise' 'congratulations'
 'medium skin tone']","This emoji represents clapping hands with a medium skin tone, often used to express appreciation, praise, or congratulations in various situations."
🏛️,CLASSICAL BUILDING,"['classical building' 'government' 'democracy' 'architecture'
 'institution' 'public space']","This emoji represents a classical building, often associated with government, democracy, and historical architecture, symbolizing institutions and public spaces."
🏛,CLASSICAL BUILDING,"['classical building' 'government' 'politics' 'architecture' 'history'
 'temple' 'ancient']","This emoji represents a classical building, often used to symbolize government, politics, and historical architecture, such as ancient Greek or Roman temples."
🍻,CLINKING BEER MUGS,['clinking' 'beer' 'mugs' 'celebration' 'toasting' 'friends' 'drink'],"This emoji shows two clinking beer mugs, often used to represent celebrations, toasting, or enjoying a drink with friends."
🥂,CLINKING GLASSES,['clinking glasses' 'celebration' 'toast' 'drink' 'social' 'festive'],"This emoji represents clinking glasses, often used to symbolize celebrations, toasts, and sharing a drink with others, typically in a social or festive context."
📋,CLIPBOARD,['clipboard' 'paper' 'copy' 'paste' 'digital' 'text' 'images'],"This emoji represents a clipboard, a flat surface used for holding paper temporarily, often used in digital contexts to copy and paste text or images."
🔃,CLOCKWISE VERTICAL ARROWS,['arrows' 'circular' 'rotation' 'loop' 'repeat' 'process' 'motion'],"This emoji shows two arrows forming a loop, moving clockwise, often used to indicate a circular motion, rotation, or repeating process."
📕,CLOSED BOOK,['book' 'knowledge' 'learning' 'reading' 'end' 'story' 'chapter'],"This emoji represents a closed book, often used to symbolize knowledge, learning, or the end of a story or chapter."
📪,CLOSED MAILBOX WITH LOWERED FLAG,"['mailbox' 'mail' 'delivery' 'communication' 'postal' 'message'
 'notification']","This emoji represents a closed mailbox with a lowered flag, indicating that there is mail inside or a delivery has been made, often used in communication and postal-related contexts."
📫,CLOSED MAILBOX WITH RAISED FLAG,"['mailbox' 'communication' 'message' 'package' 'mail' 'delivery' 'send'
 'receive']","This emoji represents a closed mailbox with a raised flag, indicating that there is mail or a package inside, often used to express sending or receiving messages, packages, or communication."
🌂,CLOSED UMBRELLA,['umbrella' 'rain' 'protection' 'weather' 'shelter'],"This emoji represents a closed umbrella, often used to convey the idea of rain, protection, or shelter from the weather."
☁️,CLOUD,['cloud' 'weather' 'nature' 'sky' 'atmosphere' 'time'],"This emoji represents a cloud, a fluffy and white mass of condensed water droplets in the sky, often used to symbolize weather, nature, and the passage of time."
☁,CLOUD,['cloud' 'weather' 'nature' 'sky' 'atmosphere' 'time'],"This emoji represents a cloud, a fluffy and white mass of condensed water droplets in the sky, often used to symbolize weather, nature, and the passage of time."
🌩️,CLOUD WITH LIGHTNING,['cloud' 'lightning' 'thunderstorm' 'weather' 'danger' 'warning'],"This emoji represents a cloud with lightning, symbolizing thunderstorms, powerful weather, and sometimes, a sense of danger or warning."
🌩,CLOUD WITH LIGHTNING,['cloud' 'lightning' 'thunderstorm' 'weather' 'danger' 'warning'],"This emoji represents a cloud with lightning, symbolizing thunderstorms, powerful weather, and sometimes, a sense of danger or warning."
⛈️,CLOUD WITH LIGHTNING AND RAIN,"['thundercloud' 'lightning' 'rain' 'storm' 'weather' 'turbulence'
 'atmosphere']","This emoji represents a thundercloud with lightning and rain, symbolizing weather conditions associated with storms, turbulence, and powerful atmospheric events."
⛈,CLOUD WITH LIGHTNING AND RAIN,['storm' 'weather' 'lightning' 'rain' 'clouds' 'turbulence' 'gloom'],"This emoji represents a stormy weather with clouds, lightning, and rain, often used to convey the mood of a gloomy or turbulent situation."
🌧️,CLOUD WITH RAIN,['rain' 'weather' 'storm' 'wet' 'precipitation' 'cloud'],"This emoji represents a cloud with rain, symbolizing weather conditions where precipitation is falling from the sky, often used to convey messages about rain, storms, or wetness."
🌧,CLOUD WITH RAIN,['rain' 'weather' 'storm' 'wet' 'precipitation' 'cloud'],"This emoji represents a cloud with rain, symbolizing weather conditions where precipitation is falling from the sky, often used to convey messages about rain, storms, or wetness."
🌨️,CLOUD WITH SNOW,['snow' 'cold' 'winter' 'weather' 'snowfall' 'chilly' 'precipitation'],"This emoji represents a cloud with snow, symbolizing cold weather, winter, and snowfall, often used to express chilly or snowy conditions."
🌨,CLOUD WITH SNOW,['snow' 'cold' 'winter' 'weather' 'snowfall' 'chilly' 'wintery'],"This emoji represents a cloud with snow, symbolizing cold weather, winter, and snowfall, often used to express chilly or wintery conditions."
🤡,CLOWN FACE,['clown' 'entertainment' 'humor' 'laughter' 'fear' 'ridicule' 'emotion'],"This emoji represents a clown face, often associated with entertainment, laughter, and sometimes fear or ridicule, typically used to express humor or exaggerated emotions."
♣️,CLUB SUIT,['club suit' 'playing cards' 'poker' 'bridge' 'clubs' 'associations'],"This emoji represents the club suit, one of the four suits in playing cards, often used in card games like poker and bridge, symbolizing clubs or associations."
♣,CLUB SUIT,['club suit' 'playing cards' 'poker' 'bridge' 'clubs' 'associations'],"This emoji represents the club suit, one of the four suits in playing cards, often used in card games like poker and bridge, symbolizing clubs or associations."
👝,CLUTCH BAG,"['clutch bag' 'handbag' 'fashion' 'elegance' 'accessory' 'style'
 'sophistication']","This emoji represents a clutch bag, a small and stylish handbag often used for carrying essentials, and is associated with elegance, sophistication, and fashion."
🧥,COAT,['coat' 'clothing' 'fashion' 'warmth' 'protection' 'outerwear'],"This emoji represents a coat, a type of clothing worn on the upper body to provide warmth and protection from cold weather or as a fashion accessory."
🪳,COCKROACH,['cockroach' 'insect' 'pest' 'small' 'flat' 'unclean'],"This emoji represents a cockroach, a small, flat insect known for its quick movement and often associated with unclean environments and pests."
🍸,COCKTAIL GLASS,"['cocktail glass' 'drink' 'party' 'social gathering' 'celebration'
 'relaxation' 'enjoyment']","This emoji represents a cocktail glass, often used to symbolize drinks, parties, and social gatherings, and can be associated with relaxation, enjoyment, and celebration."
🥥,COCONUT,['coconut' 'fruit' 'water' 'meat' 'tropical' 'cuisine' 'dessert'],"This emoji represents a coconut, a versatile fruit known for its sweet, refreshing water and white, fleshy meat, often used in tropical drinks, desserts, and cuisine."
⚰️,COFFIN,['coffin' 'death' 'mourning' 'funeral' 'memorial' 'finality' 'burial'],"This emoji represents a coffin, symbolizing death, mourning, and finality, often used in the context of funerals and memorial services."
⚰,COFFIN,['coffin' 'death' 'mourning' 'funeral' 'memorial' 'finality' 'burial'],"This emoji represents a coffin, symbolizing death, mourning, and finality, often used in the context of funerals and memorial services."
